6 Month Avg Chbk Amt,6-Month Chbk Freq,Is declined,Is Foreign Transaction,Is Fradulent,Is High Risk Country,Merchant id,Total Number of declines/day,Average Amount/transaction/day,Daily chargeback avg amt,Number of Records,Transaction amount,Currency
0,0,N,Y,Y,Y,3160040998,5,100,0,1,3000,USD
0,0,N,Y,Y,Y,3160040998,5,100,0,1,4300,USD
0,0,Y,N,Y,N,3160041896,5,185.5,0,1,4823,USD
0,0,Y,N,Y,N,3160141996,8,185.5,0,1,5008.5,USD
677.2,6,N,Y,Y,Y,3160241992,0,500,800,1,26000,USD
677.2,6,N,Y,Y,Y,3160241992,0,500,800,1,27000,USD
345.5,7,N,N,Y,N,3160272997,0,262.5,900,1,11287.5,USD
0,0,Y,N,Y,N,3162041996,20,185.5,0,1,11130,USD
0,0,Y,N,Y,N,3162041996,20,185.5,0,1,6121.5,USD
0,0,Y,N,Y,N,3162041996,20,185.5,0,1,7049,USD
229,9,N,N,Y,N,3356298138,0,166.788473,721,1,4836.865717,USD
0,0,N,Y,Y,Y,3359162473,0,444.9970144,0,1,21804.85371,USD
375,8,N,Y,Y,Y,3359690891,0,152.451565,865,1,4116.192255,USD
0,0,N,Y,Y,Y,3364840542,5,36.91948763,0,1,2141.330283,USD
811,5,N,N,Y,N,3365355395,0,806.1795426,816,1,23379.20674,USD
0,0,N,Y,Y,N,3369900897,4,257.0911668,0,1,10283.64667,USD
0,0,N,N,Y,N,3376306597,7,601.4529708,0,1,24659.5718,USD
0,0,N,Y,Y,N,3386662126,9,222.5298151,0,1,12461.66965,USD
650,8,N,N,Y,N,3388251889,0,231.0673178,986,1,12708.70248,USD
0,0,N,Y,Y,N,3394638119,9,675.5694754,0,1,39858.59905,USD
0,0,N,Y,Y,Y,3402333645,0,242.1517429,0,1,10654.67669,USD
950,8,N,N,Y,N,3405816400,0,804.7617661,953,1,42652.3736,USD
0,0,N,Y,Y,Y,3408183027,8,432.0302518,0,1,22033.54284,USD
0,0,N,Y,Y,Y,3413226850,9,356.8122632,0,1,16056.55184,USD
0,0,N,Y,Y,Y,3418090677,0,456.2831178,0,1,15057.34289,USD
839,6,N,Y,Y,N,3450127241,0,780.688498,896,1,36692.35941,USD
0,0,N,Y,Y,N,3462219091,7,947.4890276,0,1,44531.9843,USD
0,0,N,Y,Y,Y,3465787492,9,172.5157672,0,1,5002.957249,USD
0,0,N,Y,Y,N,3483626412,2,111.3750711,0,1,5680.128626,USD
0,0,N,Y,Y,Y,3498029973,0,679.9403346,0,1,38076.65874,USD
0,0,N,Y,Y,N,3505845546,3,476.8645865,0,1,26704.41684,USD
0,0,N,Y,Y,N,3506126990,2,563.054548,0,1,23085.23647,USD
